TIME ELAPSDED IN MIS GIVEN TREE DECOMPOSITION: 0.49701690673828125
TIME ELAPSDED IN MIS NOT GIVEN TREE DECOMPOSITION: 3.332988977432251
MIS SET FROM CUSTOM IMPLEMENTATION: ({0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48, 51, 54, 57, 60, 63, 66, 69, 72, 75, 78, 81, 84, 87, 90, 93, 96, 99, 102, 105, 108, 111, 114, 117, 120, 123, 126, 129, 132, 135, 138, 141, 144, 147, 150, 153, 156, 159, 162, 165, 168, 171, 174, 177, 180, 183, 186, 189, 192, 195, 198, 201, 204, 207, 210, 213, 216, 219, 222, 225, 228, 231, 234, 237, 240, 243, 246, 249, 252, 255, 258, 261, 264, 267, 270, 273, 276, 279, 282, 285, 288, 291, 294, 297, 300, 303, 306, 309, 312, 315, 318, 321, 324, 327, 330, 333, 336, 339, 342, 345, 348, 351, 354, 357, 360, 363, 366, 369, 372, 375, 378, 381, 384, 387, 390, 393, 396, 399, 402, 405, 408, 411, 414, 417, 420, 423, 426, 429, 432, 435, 438, 441, 444, 447, 450, 453, 456, 459, 462, 465, 468, 471, 474, 477, 480, 483, 486, 489, 492, 495, 498, 501, 504, 507, 510, 513, 516, 519, 522, 525, 528, 531, 534, 537, 540, 543, 546, 549, 552, 555, 558, 561, 564, 567, 570, 573, 576, 579, 582, 585, 588, 591, 594, 597, 600, 603, 606, 609, 612, 615, 618, 621, 624, 627, 630, 633, 636, 639, 642, 645, 648, 651, 654, 657, 660, 663, 666, 669, 672, 675, 678, 681, 684, 687, 690, 693, 696, 699, 702, 705, 708, 711, 714, 717, 720, 723, 726, 729, 732, 735, 738, 741, 744, 747, 750, 753, 756, 759, 762, 765, 768, 771, 774, 777, 780, 783, 786, 789, 792, 795, 798, 801, 804, 807, 810, 813, 816, 819, 822, 825, 828, 831, 834, 837, 840, 843, 846, 849, 852, 855, 858, 861, 864, 867, 870, 873, 876, 879, 882, 885, 888, 891, 894, 897, 900, 903, 906, 909, 912, 915, 918, 921, 924, 927, 930, 933, 936, 939, 942, 945, 948, 951, 954, 957, 960, 963, 966, 969, 972, 975, 978, 981, 984, 987, 990, 993, 996, 999}, 334)
         4809034 function calls (4806021 primitive calls) in 3.353 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    65807    0.043    0.000    0.100    0.000 set.py:1046(__hash__)
     3985    0.005    0.000    0.011    0.000 set.py:1058(__richcmp__)
   498500    0.666    0.000    1.613    0.000 set.py:1120(issuperset)
        2    0.000    0.000    0.000    0.000 set.py:1168(intersection)
        2    0.000    0.000    0.000    0.000 set.py:1183(difference)
        2    0.000    0.000    0.000    0.000 set.py:373(__and__)
        2    0.000    0.000    0.000    0.000 set.py:429(__sub__)
     2998    0.080    0.000    0.359    0.000 set.py:472(__init__)
  1114629    0.245    0.000    0.245    0.000 set.py:767(object)
     2998    0.009    0.000    0.381    0.000 set.py:856(__init__)
     1994    0.001    0.000    0.001    0.000 set.py:887(is_finite)
     2994    0.018    0.000    0.405    0.000 set.py:89(Set)
     5981    0.007    0.000    0.014    0.000 set.py:910(__len__)
    36866    0.023    0.000    0.056    0.000 set.py:919(__iter__)
  1048822    0.611    0.000    0.842    0.000 set.py:995(set)
     2998    0.002    0.000    0.266    0.000 sets_cat.py:962(_element_constructor_)
        1    0.000    0.000    0.000    0.000 six.py:194(find_spec)
       14    0.000    0.000    0.000    0.000 socket.py:621(send)
       14    0.000    0.000    0.000    0.000 threading.py:1102(_wait_for_tstate_lock)
       14    0.000    0.000    0.000    0.000 threading.py:1169(is_alive)
       14    0.000    0.000    0.000    0.000 threading.py:553(is_set)
       22    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
       18    0.000    0.000    0.000    0.000 weakref.py:353(__init__)
       22    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x563cd6dd49a0}
        1    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       20    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.001    0.001    0.001    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        3    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       20    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      998    0.001    0.000    0.002    0.000 {built-in method builtins.any}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      2/1    0.000    0.000    3.353    3.353 {built-in method builtins.exec}
     7060    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
     7058    0.264    0.000    0.264    0.000 {built-in method builtins.hasattr}
68815/67817    0.013    0.000    0.015    0.000 {built-in method builtins.hash}
   531525    0.077    0.000    0.077    0.000 {built-in method builtins.isinstance}
    37874    0.006    0.000    0.006    0.000 {built-in method builtins.iter}
81713/79722    0.012    0.000    0.015    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     2001    0.001    0.000    0.004    0.000 {built-in method builtins.next}
        3    0.000    0.000    0.001    0.000 {built-in method builtins.print}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        3    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.000    0.000 {built-in method math.cos}
        3    0.000    0.000    0.000    0.000 {built-in method math.sin}
        4    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       12    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
